tax	con.depth.100.seq.bifido	con.depth.1000.seq.bifido	con.depth.10000.seq.bifido	con.depth.100000.seq.bifido	con.depth.500000.seq.bifido	conbif.200000	conbif.40000	conbif.80000
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_pseudocatenulatum;t__Other	8.89E-05	8.89E-05	8.89E-05	8.80E-05	8.42E-05	0.000144707	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_sp._12_1_47BFAA;t__Bifidobacterium_sp._12_1_47BFAA_12_1_47BFAA	2.23E-05	2.23E-05	2.23E-05	2.28E-05	2.54E-05	2.41E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_stellenboschense;t__Bifidobacterium_stellenboschense_DSM_23968	5.93E-06	5.93E-06	5.93E-06	5.82E-06	5.64E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Other;t__Other	0.001198234	0.001217942	0.001395184	0.003184619	0.010803243	0.006680655	0.006363407	0.006040004
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Other;s__Other;t__Other	0	1.85E-07	3.71E-07	7.02E-06	3.40E-05	2.41E-05	0	6.07E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia_wiggsiae;t__Other	4.91E-06	4.91E-06	4.91E-06	4.90E-06	4.46E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_pyruviciproducens;t__Corynebacterium_pyruviciproducens_UMB0763	4.82E-06	4.82E-06	4.82E-06	4.80E-06	4.64E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas_carbonis;t__Cellulomonas_carbonis_T26	0.000142316	0.000142311	0.000142169	0.000140397	0.000133953	0.000156766	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Other;t__Other	4.43E-05	4.43E-05	4.42E-05	4.39E-05	4.20E-05	2.41E-05	0.000126008	6.07E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia_sp._HMSC069C03;t__Rothia_sp._HMSC069C03_HMSC069C03	2.32E-06	2.32E-06	2.32E-06	2.31E-06	2.18E-06	0	0	0
